HEA_classicCluster_4
../../Input/classic_cluster.vcl ../../Input/CyberShake_50.xml.dag
### Exec 0 :
14.55 0.0562708
14.2667 0.142001
14.1833 0.179688
14.1333 0.217047
14.05 0.394145
13.9667 0.450145
13.9333 0.635997
13.8833 0.697264
13.8 1.5106
13.7167 1.9956
13.7 2.06221
13.6333 2.44636
13.4 3.24009
12.7 3.35014
12.15 3.48845
12.1 3.56002
12.0667 3.66736
12.0167 4.68244
12 4.73925
### Exec 1 :
14.55 0.0500124
14.2667 0.07827
14.15 0.144458
14.1333 0.175526
13.2333 0.223333
13.0667 0.291429
12.8833 0.326749
12.85 0.387601
12.8333 0.447593
12.8 0.623639
12.7833 0.897234
### Exec 2 :
14.7167 0.0312469
14.45 0.0425252
14.1833 0.0795954
14.1333 0.107742
13.65 0.256048
13.55 0.309086
13.2667 0.340168
13.1667 0.371536
13.1333 0.471367
12.8167 0.511136
12.7 0.615596
12.6667 0.692798
12.6333 0.764714
12.6167 0.941014
###!# result: 12.4666666667 +/- 0.336919598058	2.19249933333 +/- 1.80091335915

