HEA_classicCluster_4
../../Input/classic_cluster.vcl ../../Input/Epigenomics_46.xml.dag
### Exec 0 :
103.85 0.00908385
101.567 0.0222963
101.317 0.0406785
101.25 0.0978479
99.7833 0.20644
99.1833 0.22335
98.8667 0.247047
98.7167 0.277666
98.7 0.346149
98.6167 0.420082
98.5167 0.52387
98.4333 0.855829
### Exec 1 :
103.85 0.00982325
101.567 0.023511
101.317 0.0419535
101.25 0.0969822
100.033 0.231724
99.3333 0.268302
98.5167 0.293215
98.35 0.345739
98.2333 0.415808
98.15 0.479137
### Exec 2 :
103.85 0.0100933
101.567 0.0232782
101.317 0.0403973
101.25 0.11119
###!# result: 99.2777666667 +/- 1.39936722922	0.482052 +/- 0.304004586587

