HEA_classicCluster_4
../../Input/classic_cluster.vcl ../../Input/GENOME.d.702049732.0.dax.dag
### Exec 0 :
864.8 0.156952
858.967 0.20229
858.683 0.360326
856.767 0.468102
856.3 0.541331
856 0.64633
855.433 0.797494
854.017 1.06068
853.883 1.17963
846.5 1.24422
843.467 2.38466
843.067 2.69715
842.5 2.76247
842.1 2.98731
841.833 3.22474
841.067 3.30279
840.933 3.6063
838.35 3.94212
837.833 4.08581
837.383 4.18546
836.933 4.45243
836.65 4.54449
836.183 4.66634
835.8 4.7656
835.433 4.83669
835.167 4.9156
834.033 5.04098
833.833 5.16653
833.683 5.30515
833.633 5.50382
### Exec 1 :
864.8 0.145268
862.95 0.263603
862.417 0.332833
861.95 0.377212
861.817 0.497748
860.25 0.603685
844.683 0.696694
843.917 0.823388
843.4 0.884633
843.083 1.63982
842.833 1.71265
838.4 1.77983
837.8 1.86642
837.067 1.92611
836.95 2.05472
836.883 2.49928
836.65 2.80095
835.517 2.87775
835.383 3.54204
835.183 3.81496
835.083 4.10526
834.917 8.91661
834.567 9.42538
834.5 9.70331
### Exec 2 :
864.783 0.131978
862.95 0.188082
862.417 0.232248
861.95 0.345213
841.533 0.415563
841.15 0.467026
840.683 0.58061
839.517 0.649133
835.133 1.08441
834.867 1.13268
834.617 1.17335
834.45 1.23354
834.3 1.42126
834.183 1.67072
834.133 1.89572
834.083 2.11396
834.05 2.4177
834.017 2.64536
833.917 4.4144
833.85 4.76156
833.833 5.18549
###!# result: 833.988666667 +/- 0.370671762555	6.79754 +/- 2.05879543535

