HEA_classicCluster_4
../../Input/classic_cluster.vcl ../../Input/Inspiral_50.xml.dag
### Exec 0 :
22.7333 0.0144611
22.6333 0.0777017
22.5833 0.104134
22.5333 0.138924
22.5 0.181816
22.4667 0.217888
22.4333 0.27678
22.4167 0.517328
22.4 1.31557
### Exec 1 :
22.7333 0.0127101
22.6333 0.0762628
22.5667 0.120415
22.5333 0.178074
22.4667 0.215252
22.4333 0.264066
22.4167 0.524408
### Exec 2 :
22.7333 0.0147632
22.6333 0.0405614
22.5667 0.0814964
22.5333 0.158235
22.5 0.202111
22.4667 0.24184
22.4333 0.536732
###!# result: 22.4166666667 +/- 0.0135946885053	0.792236666667 +/- 0.37008674981

