HEA_classicCluster_4
../../Input/classic_cluster.vcl ../../Input/Montage_100.xml.dag
### Exec 0 :
4.36667 0.173415
4.23333 0.444297
4.16667 0.617421
4.13333 0.837568
4.1 1.57815
4.03333 2.47414
3.96667 2.90599
3.95 3.8134
### Exec 1 :
4.26667 0.160397
4.16667 0.420003
4.08333 0.578217
4.01667 0.753018
3.96667 1.45199
3.95 3.34291
### Exec 2 :
4.35 0.113262
4.23333 0.309224
4.16667 0.46154
4.13333 0.678718
4.08333 1.33723
4 2.29501
3.95 2.49255
3.91667 2.86254
###!# result: 3.93889 +/- 0.015711912678	3.33961666667 +/- 0.388193954472

